Nummer;Navn;Antall;
1;Hansen;53011;
2;Johansen;50088;
3;Olsen;49303;
4;Larsen;37869;
5;Andersen;37025;
6;Pedersen;35145;
7;Nilsen;34734;
8;Kristiansen;23397;
9;Jensen;22879;
10;Karlsen;21234;
11;Johnsen;20650;
12;Pettersen;20101;
13;Eriksen;19136;
14;Berg;18080;
15;Haugen;14346;
16;Hagen;14073;
17;Johannessen;13286;
18;Andreassen;12100;
19;Jacobsen;11906;
20;Dahl;11503;
21;Jørgensen;11426;
22;Halvorsen;11418;
23;Henriksen;11339;
24;Lund;11250;
25;Sørensen;10725;
26;Jakobsen;10581;
27;Moen;10275;
28;Gundersen;10232;
29;Iversen;10046;
30;Svendsen;9847;
31;Strand;9836;
32;Solberg;9722;
33;Martinsen;8520;
34;Knutsen;8476;
35;Paulsen;8429;
36;Eide;8400;
37;Bakken;7867;
38;Kristoffersen;7802;
39;Mathisen;7602;
40;Lie;7440;
41;Amundsen;7230;
42;Rasmussen;7201;
43;Lunde;6936;
44;Kristensen;6905;
45;Bakke;6867;
46;Moe;6859;
47;Berge;6857;
48;Nygård;6833;
49;Solheim;6810;
50;Fredriksen;6804;
51;Nguyen;6776;
52;Holm;6534;
53;Lien;6486;
54;Andresen;6395;
55;Hauge;6335;
56;Christensen;6314;
57;Knudsen;6258;
58;Nielsen;6186;
59;Evensen;5987;
60;Ali;5913;
61;Sæther;5911;
62;Aas;5876;
63;Hanssen;5847;
64;Myhre;5789;
65;Haugland;5702;
66;Thomassen;5665;
67;Sivertsen;5640;
68;Simonsen;5625;
69;Berntsen;5553;
70;Danielsen;5463;
71;Rønning;5290;
72;Arnesen;5252;
73;Sandvik;5248;
74;Næss;5195;
75;Antonsen;5106;
76;Haug;5086;
77;Ahmed;5084;
78;Vik;4983;
79;Ellingsen;4943;
80;Edvardsen;4899;
81;Thorsen;4889;
82;Gulbrandsen;4756;
83;Birkeland;4749;
84;Isaksen;4719;
85;Ruud;4655;
86;Strøm;4469;
87;Aasen;4438;
88;Ødegård;4379;
89;Tangen;4356;
90;Myklebust;4356;
91;Jenssen;4328;
92;Eliassen;4325;
93;Mikkelsen;4266;
94;Bøe;4248;
95;Aune;4237;
96;Helland;4174;
97;Tveit;3978;
98;Brekke;3976;
99;Abrahamsen;3916;
100;Engen;3835;
101;Madsen;3827;
102;Christiansen;3806;
103;Sunde;3667;
104;Mortensen;3626;
105;Bjerke;3595;
106;Torgersen;3578;
107;Thoresen;3569;
108;Hermansen;3512;
109;Mikalsen;3507;
110;Magnussen;3483;
111;Gjerde;3439;
112;Nilssen;3426;
113;Helgesen;3419;
114;Hovland;3407;
115;Bråthen;3385;
116;Wold;3382;
117;Dahle;3321;
118;Dale;3311;
119;Nygaard;3296;
120;Eilertsen;3279;
121;Wilhelmsen;3181;
122;Foss;3168;
123;Steen;3159;
124;Jansen;3138;
125;Bjørnstad;3109;
126;Gabrielsen;3077;
127;Håland;3075;
128;Sætre;3062;
129;Hammer;3054;
130;Gustavsen;2998;
131;Ingebrigtsen;2958;
132;Tran;2907;
133;Hoel;2903;
134;Mohamed;2892;
135;Bråten;2891;
136;Holmen;2863;
137;Solli;2853;
138;Carlsen;2819;
139;Lorentzen;2797;
140;Engebretsen;2797;
141;Hoff;2796;
142;Hassan;2794;
143;Samuelsen;2774;
144;Ludvigsen;2739;
145;Sandnes;2735;
146;Fossum;2728;
147;Sveen;2721;
148;Rønningen;2715;
149;Breivik;2695;
150;Monsen;2684;
151;Solbakken;2605;
152;Solvang;2586;
153;Fjeld;2565;
154;Johannesen;2538;
155;Egeland;2530;
156;Nordby;2528;
157;Jonassen;2497;
158;Aase;2494;
159;Sand;2479;
160;Bye;2464;
161;Stokke;2462;
162;Andersson;2459;
163;Bø;2455;
164;Dalen;2453;
165;Syversen;2443;
166;Wiik;2429;
167;Johansson;2419;
168;Khan;2407;
169;Løken;2402;
170;Ødegaard;2401;
171;Sørlie;2391;
172;Haga;2356;
173;Wang;2324;
174;Sandberg;2301;
175;Møller;2289;
176;Tollefsen;2272;
177;Haaland;2248;
178;Viken;2240;
179;Kvam;2229;
180;Hamre;2221;
181;Teigen;2220;
182;Sande;2218;
183;Borge;2212;
184;Berger;2212;
185;Torp;2202;
186;Eikeland;2199;
187;Kolstad;2196;
188;Ottesen;2185;
189;Enger;2185;
190;Øien;2166;
191;Nikolaisen;2166;
