 ;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;
Aaron;32;29;19;20;19;21;21;13;30;24;
Abdi;10;:;5;5;4;6;:;5;4;10;
Abdirahman;21;19;26;22;26;27;33;28;25;33;
Abdul;7;10;9;9;12;7;15;23;16;18;
Abdullah;17;15;19;20;19;11;27;15;18;19;
Abdullahi;10;11;11;7;10;9;19;11;15;12;
Abel;51;33;20;17;6;11;15;8;6;13;
Adam;147;145;136;140;137;125;118;102;97;98;
Adnan;6;12;6;10;:;7;10;10;9;7;
Adrian;229;242;281;318;352;391;410;392;378;409;
Agnar;:;10;6;:;:;5;:;:;:;:;
Ahmad;7;10;20;19;27;15;22;29;20;22;
Ahmed;27;33;48;41;40;48;49;41;50;45;
Aiden;19;14;20;14;13;10;11;8;9;:;
Ailo;31;29;46;45;37;17;16;14;12;:;
Aksel;294;299;253;224;241;264;237;146;153;129;
Alan;36;25;30;32;22;28;21;21;25;21;
Albert;96;77;70;74;84;61;60;65;54;54;
Albin;7;6;:;5;9;4;7;10;8;4;
Aleksander;128;113;125;138;144;156;171;154;204;206;
Alex;37;31;29;29;37;36;44;31;28;29;
Alexander;193;195;260;274;261;266;346;281;300;324;
Alf;14;17;8;11;13;11;12;9;9;8;
Alfred;155;124;107;86;84;63;50;42;42;37;
Ali;44;43;52;53;50;60;48;41;52;52;
Allan;:;4;:;:;5;7;6;11;:;6;
Alvar;7;7;14;:;8;5;:;7;:;6;
Alvin;41;39;35;31;38;33;28;26;22;15;
Amadeus;5;8;5;4;11;8;:;7;11;9;
Amandus;4;7;11;8;9;8;7;5;10;13;
Amar;4;7;7;7;6;10;6;5;6;9;
Amin;9;11;13;10;11;15;10;9;5;7;
Amir;26;26;28;25;33;32;29;25;21;24;
Amund;63;59;54;65;54;74;47;81;76;85;
Anas;15;21;24;17;22;14;24;23;18;14;
Anders;35;41;27;26;71;105;95;127;150;147;
Andre;15;18;21;18;39;40;32;44;46;58;
Andreas;177;200;221;229;305;326;367;411;379;459;
Anthony;:;14;9;6;11;5;12;9;9;11;
Anton;82;78;113;95;75;87;81;54;68;61;
Antoni;23;16;11;21;20;9;12;11;9;4;
Antonio;4;7;5;6;10;9;8;5;12;5;
Aram;10;7;7;:;:;4;7;6;4;:;
Are;13;10;8;11;9;8;13;14;21;24;
Arham;4;4;10;:;:;:;:;:;:;:;
Arian;34;43;28;32;25;42;38;29;27;15;
Arijus;10;6;4;:;:;5;:;:;:;:;
Arin;8;7;5;7;13;7;9;11;12;8;
Arman;14;15;13;14;13;14;15;16;11;9;
Armin;6;10;9;11;4;7;9;5;5;4;
Arn;10;19;15;11;19;20;23;18;6;10;
Arnas;:;5;11;6;10;5;10;7;:;:;
Arne;21;26;35;21;25;28;33;25;32;32;
Aron;110;116;110;134;147;146;138;122;91;88;
Arthur;27;40;24;32;23;18;20;19;19;20;
Artur;10;:;12;9;10;10;4;7;8;:;
Arvid;8;9;7;9;8;8;8;7;6;10;
Arvin;11;7;13;8;7;9;10;9;5;4;
Aryan;14;16;10;15;11;18;21;16;12;8;
Asbjørn;8;13;15;9;6;11;16;12;20;16;
Ask;49;61;63;58;62;63;62;66;56;69;
Askil;4;4;5;5;7;6;11;10;15;12;
Aslak;32;22;27;34;25;35;31;31;17;20;
Atle;:;5;6;8;6;5;5;8;4;13;
Audun;21;17;24;24;27;20;30;28;27;29;
August;74;76;70;78;88;66;75;84;85;90;
Aune;:;5;6;12;10;8;4;6;:;:;
Axel;84;54;71;66;68;63;63;44;55;53;
Ayaan;12;11;4;8;8;8;9;6;7;5;
Ayman;9;6;8;6;5;8;12;8;7;7;
Ayub;16;11;10;14;11;10;6;:;7;13;
Balder;10;18;11;20;14;18;29;28;20;23;
Bartosz;:;8;:;8;10;10;16;6;11;19;
Bastian;42;30;29;40;43;30;31;18;24;27;
Ben;8;8;6;5;5;10;5;6;8;6;
Benas;11;14;:;13;7;:;:;:;6;:;
Bendik;18;15;27;25;33;22;30;44;54;44;
Benjamin;245;266;244;258;297;324;340;339;291;328;
Bernard;8;8;10;4;6;:;5;5;4;5;
Bernhard;9;8;8;16;10;10;9;9;11;4;
Bilal;9;4;13;10;13;12;12;16;15;12;
Birk;76;78;73;88;85;81;85;84;76;81;
Bjørn;39;56;64;58;48;70;59;63;68;58;
