 ;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;
Abigail;8;11;15;18;6;10;10;8;8;4;
Ada;131;110;128;128;109;95;99;91;101;71;
Adela;:;7;6;5;6;4;11;4;:;:;
Adele;46;46;69;78;59;49;50;58;45;41;
Adelen;48;37;50;6;7;9;:;:;7;:;
Adelina;9;10;6;7;6;6;5;5;6;:;
Adina;7;7;4;6;:;:;10;8;5;:;
Adine;4;9;8;10;7;8;11;12;8;10;
Adna;10;7;:;:;:;5;7;4;5;6;
Adriana;23;19;19;25;24;24;28;17;19;13;
Agathe;8;12;12;7;8;14;10;14;12;18;
Agnes;108;138;96;82;99;79;69;67;54;55;
Agnethe;8;:;:;:;:;4;12;8;4;:;
Aida;11;10;12;11;15;16;10;9;10;15;
Aila;:;10;6;5;6;5;8;6;4;7;
Ailin;9;6;7;6;4;10;10;6;4;9;
Aimee;:;5;:;6;:;8;6;7;5;11;
Aina;13;7;11;14;7;8;12;6;8;12;
Aisha;22;44;38;40;37;38;42;25;27;21;
Alba;22;18;14;20;16;18;9;10;10;12;
Alea;15;9;5;12;8;6;5;:;:;:;
Aleksandra;17;32;31;24;36;33;25;36;49;27;
Alette;7;12;7;9;4;8;7;11;7;9;
Alexandra;63;48;68;84;66;82;89;89;80;74;
Alice;48;30;29;34;29;27;25;24;23;18;
Alicia;26;22;21;17;17;19;13;17;11;11;
Alicja;11;14;7;14;13;13;14;7;11;7;
Alida;46;28;37;29;37;43;30;30;26;24;
Alina;142;48;37;40;36;24;33;26;26;32;
Aline;19;12;14;15;9;7;5;9;:;10;
Alisa;17;8;19;8;12;16;9;4;16;8;
Alise;22;13;9;13;21;20;12;11;12;14;
Alisha;6;7;6;:;7;11;5;8;8;9;
Alma;185;162;187;160;157;145;132;96;67;58;
Alva;82;105;118;125;121;139;105;86;88;84;
Alvilde;19;22;27;26;23;13;20;14;15;14;
Amal;:;:;4;5;4;4;10;4;5;4;
Amalia;9;7;13;10;8;5;13;6;4;6;
Amalie;253;254;285;311;304;344;306;314;282;327;
Amanda;143;140;173;145;153;117;145;139;121;126;
Amelia;99;100;94;84;84;68;71;58;55;52;
Amelie;20;30;31;16;12;16;21;25;15;8;
Amelija;11;7;10;7;:;:;5;:;:;:;
Amina;36;46;46;37;36;39;38;33;29;35;
Aminda;4;6;10;:;4;:;:;4;:;:;
Amine;4;8;:;10;9;5;9;6;:;5;
Amira;29;20;26;14;27;12;23;20;14;8;
Amna;:;:;7;6;6;14;12;9;5;4;
Amy;10;5;12;18;8;7;13;18;11;18;
Ana;14;6;9;12;15;18;18;8;11;8;
Anastasia;10;7;9;6;8;9;7;11;10;11;
Andrea;113;107;126;137;160;187;211;248;227;275;
Andrine;21;31;26;36;48;73;42;54;50;67;
Ane;47;79;77;67;81;107;99;110;127;154;
Anea;17;11;13;11;9;5;11;4;:;5;
Anette;6;4;5;5;8;10;12;11;15;29;
Angela;5;7;9;4;:;8;7;12;7;7;
Angelica;42;41;50;58;61;57;70;92;90;84;
Angelika;4;7;9;5;:;11;10;6;15;9;
Angelina;14;13;7;12;20;13;22;19;23;23;
Anine;21;26;29;40;61;32;25;33;35;40;
Anisa;8;8;13;12;10;9;6;7;11;6;
Anita;6;9;9;13;13;17;11;15;14;16;
Anja;18;21;14;10;19;13;15;16;30;20;
Ann;7;9;9;12;10;10;17;20;18;18;
Anna;293;327;302;320;330;363;398;359;409;344;
Annabel;:;8;11;5;7;7;6;8;10;5;
